B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.4,0.41,3.95,531.1161,871.9080849,415.02,418.6660876,0.082,9430
0.4,0.41,4,531.2268,879.1468682,415.02,422.1495159,0.082,9430
0.39,0.43,3.95,531.4232925,869.3815238,415.02,418.4984768,0.08385,9642.75
0.39,0.43,4,531.53649,876.5967812,415.02,421.9795918,0.08385,9642.75
0.4,0.42,3.85,531.2214,871.0375272,415.02,418.573071,0.084,9660
0.4,0.42,3.9,531.3348,878.3895171,415.02,422.1140304,0.084,9660
0.4,0.42,3.95,531.4482,885.741507,415.02,425.6549899,0.084,9660
0.4,0.42,4,531.5616,893.093497,415.02,429.1959494,0.084,9660
0.41,0.41,3.8,531.1161,879.3218647,415.02,421.8252856,0.08405,9665.75
0.41,0.41,3.85,531.2295675,886.8081736,415.02,425.4246188,0.08405,9665.75
0.41,0.41,3.9,531.343035,894.2944824,415.02,429.023952,0.08405,9665.75
0.41,0.41,3.95,531.4565025,901.7807912,415.02,432.6232851,0.08405,9665.75
0.41,0.41,4,531.56997,909.2671,415.02,436.2226183,0.08405,9665.75
0.38,0.45,3.95,531.697275,865.8271698,415.02,417.7871208,0.0855,9832.5
0.38,0.45,4,531.8127,873.0108273,415.02,421.2615752,0.0855,9832.5
0.39,0.44,3.85,531.51543,868.2090231,415.02,418.2347627,0.0858,9867
0.39,0.44,3.9,531.63126,875.534657,415.02,421.7719706,0.0858,9867
0.39,0.44,3.95,531.74709,882.8602909,415.02,425.3091784,0.0858,9867
0.39,0.44,4,531.86292,890.1859248,415.02,428.8463863,0.0858,9867
0.4,0.43,3.8,531.432,877.1793392,415.02,421.8484204,0.086,9890
0.4,0.43,3.85,531.5481,884.6445358,415.02,425.446911,0.086,9890
0.4,0.43,3.9,531.6642,892.1097325,415.02,429.0454016,0.086,9890
0.4,0.43,3.95,531.7803,899.5749291,415.02,432.6438922,0.086,9890
0.4,0.43,4,531.8964,907.0401258,415.02,436.2423829,0.086,9890
0.41,0.42,3.8,531.4482,893.1622835,415.02,428.8156587,0.0861,9901.5
0.41,0.42,3.85,531.564435,900.7646292,415.02,432.4739613,0.0861,9901.5
0.41,0.42,3.9,531.68067,908.3669749,415.02,436.1322639,0.0861,9901.5
0.41,0.42,3.95,531.796905,915.9693206,415.02,439.7905666,0.0861,9901.5
0.41,0.42,4,531.91314,923.5716663,415.02,443.4488692,0.0861,9901.5
0.37,0.47,4,532.05543,868.3921272,415.02,419.9966968,0.08695,9999.25
0.38,0.46,3.85,531.77679,864.3693266,415.02,417.3615821,0.0874,10051
0.38,0.46,3.9,531.89478,871.6605304,415.02,420.8906911,0.0874,10051
0.38,0.46,3.95,532.01277,878.9517342,415.02,424.4198001,0.0874,10051
0.38,0.46,4,532.13076,886.242938,415.02,427.9489091,0.0874,10051
0.39,0.45,3.8,531.7155,874.0310267,415.02,421.3399778,0.08775,10091.25
0.39,0.45,3.85,531.8339625,881.4670371,415.02,424.9332785,0.08775,10091.25
0.39,0.45,3.9,531.952425,888.9030476,415.02,428.5265793,0.08775,10091.25
0.39,0.45,3.95,532.0708875,896.339058,415.02,432.1198801,0.08775,10091.25
0.39,0.45,4,532.18935,903.7750684,415.02,435.7131808,0.08775,10091.25
0.4,0.44,3.8,531.756,890.6731411,415.02,428.6647292,0.088,10120
0.4,0.44,3.85,531.8748,898.2515445,415.02,432.320751,0.088,10120
0.4,0.44,3.9,531.9936,905.8299478,415.02,435.9767728,0.088,10120
0.4,0.44,3.95,532.1124,913.4083512,415.02,439.6327946,0.088,10120
0.4,0.44,4,532.2312,920.9867546,415.02,443.2888163,0.088,10120
0.41,0.43,3.8,531.7803,907.0027022,415.02,435.8060318,0.08815,10137.25
0.41,0.43,3.85,531.8993025,914.7210848,415.02,439.5233039,0.08815,10137.25
0.41,0.43,3.9,532.018305,922.4394674,415.02,443.2405759,0.08815,10137.25
0.41,0.43,3.95,532.1373075,930.1578499,415.02,446.957848,0.08815,10137.25
0.41,0.43,4,532.25631,937.8762325,415.02,450.67512,0.08815,10137.25
0.42,0.42,3.8,531.7884,923.017946,415.02,442.7631899,0.0882,10143
0.42,0.42,3.85,531.90747,930.8738941,415.02,446.5402415,0.0882,10143
0.42,0.42,3.9,532.02654,938.7298422,415.02,450.3172931,0.0882,10143
0.42,0.42,3.95,532.14561,946.5857903,415.02,454.0943447,0.0882,10143
0.42,0.42,4,532.26468,954.4417384,415.02,457.8713962,0.0882,10143
0.36,0.49,4,532.26468,862.7438017,415.02,418.1861872,0.0882,10143
0.37,0.48,3.9,532.12536,866.770258,415.02,419.4714227,0.0888,10212
0.37,0.48,3.95,532.24524,874.0189577,415.02,422.9880855,0.0888,10212
0.37,0.48,4,532.36512,881.2676574,415.02,426.5047484,0.0888,10212
0.38,0.47,3.8,531.9666,869.880048,415.02,420.3011885,0.0893,10269.5
0.38,0.47,3.85,532.087155,877.2787982,415.02,423.8849521,0.0893,10269.5
0.38,0.47,3.9,532.20771,884.6775484,415.02,427.4687157,0.0893,10269.5
0.38,0.47,3.95,532.328265,892.0762986,415.02,431.0524793,0.0893,10269.5
0.38,0.47,4,532.44882,899.4750488,415.02,434.6362429,0.0893,10269.5
