B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.81,0.82,4,591.02694,623.9111958,460.4644,460.8325685,0.3321,38191.5
0.79,0.85,4,591.83505,625.1410152,461.063,461.877868,0.33575,38611.25
0.8,0.84,4,591.8904,627.8216991,461.104,463.8040708,0.336,38640
0.81,0.83,4,591.92361,630.3715705,461.1286,465.6322647,0.33615,38657.25
0.82,0.82,3.95,591.02694,624.8333174,460.4644,461.486541,0.3362,38663
0.82,0.82,4,591.93468,632.7906297,461.1368,467.3624498,0.3362,38663
0.77,0.88,4,592.51032,625.5285545,461.5632,462.2941103,0.3388,38962
0.78,0.87,4,592.62102,628.5506207,461.6452,464.4755862,0.3393,39019.5
0.79,0.86,4,592.70958,631.4418745,461.7108,466.5590532,0.3397,39065.5
0.8,0.85,3.95,591.858,626.2272918,461.08,462.6537799,0.34,39100
0.8,0.85,4,592.776,634.2023161,461.76,468.5445115,0.34,39100
0.81,0.84,3.95,591.90174,628.8238379,461.1124,464.5174842,0.3402,39123
0.81,0.84,4,592.82028,636.8319452,461.7928,470.4319609,0.3402,39123
0.82,0.83,3.95,591.92361,631.2912161,461.1286,466.2844115,0.3403,39134.5
0.82,0.83,4,592.84242,639.3307621,461.8092,472.2214015,0.3403,39134.5
0.75,0.91,4,593.05275,625.0738134,461.965,462.0812953,0.34125,39243.75
0.76,0.9,4,593.2188,628.437262,462.088,464.5180443,0.342,39330
0.77,0.89,4,593.36271,631.6698983,462.1946,466.8567845,0.34265,39404.75
0.78,0.88,3.95,592.55784,626.7895757,461.5984,463.1998684,0.3432,39468
0.78,0.88,4,593.48448,634.7717222,462.2848,469.0975159,0.3432,39468
0.79,0.87,3.95,592.656255,629.7232122,461.6713,465.3156373,0.34365,39519.75
0.79,0.87,4,593.58411,637.7427338,462.3586,471.2402384,0.34365,39519.75
0.8,0.86,3.9,591.804,624.4724287,461.04,461.3843062,0.344,39560
0.8,0.86,3.95,592.7328,632.5276809,461.728,467.3346292,0.344,39560
0.8,0.86,4,593.6616,640.582933,462.416,473.2849522,0.344,39560
0.74,0.93,4,593.68374,627.4816232,462.4324,463.9314452,0.3441,39571.5
0.81,0.85,3.9,591.858,627.1136436,461.08,463.2820311,0.34425,39588.75
0.81,0.85,3.95,592.787475,635.2029818,461.7685,469.2568441,0.34425,39588.75
0.81,0.85,4,593.71695,643.2923199,462.457,475.2316571,0.34425,39588.75
0.82,0.84,3.9,591.8904,629.6273353,461.104,465.0842109,0.3444,39606
0.82,0.84,3.95,592.82028,637.7491149,461.7928,471.0822821,0.3444,39606
0.82,0.84,4,593.75016,645.8708945,462.4816,477.0803532,0.3444,39606
0.83,0.83,3.85,590.971185,623.8609272,460.4231,460.770748,0.34445,39611.75
0.83,0.83,3.9,591.9012,632.0135037,461.112,466.7908455,0.34445,39611.75
0.83,0.83,3.95,592.831215,640.1660802,461.8009,472.810943,0.34445,39611.75
0.83,0.83,4,593.76123,648.3186567,462.4898,478.8310405,0.34445,39611.75
0.75,0.92,4,593.883,631.0556419,462.58,466.5254585,0.345,39675
